date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:58	242568/242568	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:41%20GMT	http://creative-era.com/era/images/local-video.png	E:/theme/comning%20soon/creative-era.com/era/images/local-video.png	(from http://creative-era.com/era/)
10:35:19	114267/114267	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:45%20GMT	http://creative-era.com/era/images/Slideshow/1.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/1.png	(from http://creative-era.com/era/)
10:35:29	876041/876041	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:02%20GMT	http://creative-era.com/era/images/slideshow_verient.png	E:/theme/comning%20soon/creative-era.com/era/images/slideshow_verient.png	(from http://creative-era.com/era/)
10:35:38	260033/260033	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:05%20GMT	http://creative-era.com/era/images/youtube-video.png	E:/theme/comning%20soon/creative-era.com/era/images/youtube-video.png	(from http://creative-era.com/era/)
10:35:42	139153/139153	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:46%20GMT	http://creative-era.com/era/images/Slideshow/2.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/2.png	(from http://creative-era.com/era/)
10:36:15	487752/487752	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:50%20GMT	http://creative-era.com/era/images/responsive.png	E:/theme/comning%20soon/creative-era.com/era/images/responsive.png	(from http://creative-era.com/era/)
10:36:15	291209/291209	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:48%20GMT	http://creative-era.com/era/images/Slideshow/Era_Blue_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Blue_Gradient.png	(from http://creative-era.com/era/)
10:36:19	229730/229730	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:02%20GMT	http://creative-era.com/era/images/Slideshow/Era_Orange_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Orange_Gradient.png	(from http://creative-era.com/era/)
10:36:20	253571/253571	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:54%20GMT	http://creative-era.com/era/images/Slideshow/Era_Green_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Green_Gradient.png	(from http://creative-era.com/era/)
10:37:03	278293/278293	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:05%20GMT	http://creative-era.com/era/images/Slideshow/Era_Purple_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Purple_Gradient.png	(from http://creative-era.com/era/)
10:37:06	319318/319318	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:01%20GMT	http://creative-era.com/era/images/Slideshow/Era_Magenta_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Magenta_Gradient.png	(from http://creative-era.com/era/)
10:37:06	318488/318488	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:04%20GMT	http://creative-era.com/era/images/Slideshow/Era_Pink_Gradient.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Pink_Gradient.png	(from http://creative-era.com/era/)
10:37:34	161693/161693	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:08%20GMT	http://creative-era.com/era/images/Slideshow/Flat_Cyan.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Flat_Cyan.png	(from http://creative-era.com/era/)
10:37:40	154372/154372	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:10%20GMT	http://creative-era.com/era/images/Slideshow/Flat_Orange.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Flat_Orange.png	(from http://creative-era.com/era/)
10:37:58	143404/143404	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:26:10%20GMT	http://creative-era.com/era/images/Slideshow/Flat_Green.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Flat_Green.png	(from http://creative-era.com/era/)
10:38:04	154415/154415	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:49%20GMT	http://creative-era.com/era/images/Slideshow/Era_FlatBlue.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_FlatBlue.png	(from http://creative-era.com/era/)
10:38:32	172482/172482	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:52%20GMT	http://creative-era.com/era/images/Slideshow/Era_FlatPink.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_FlatPink.png	(from http://creative-era.com/era/)
10:38:35	178654/178654	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:51%20GMT	http://creative-era.com/era/images/Slideshow/Era_FlatDarkPurple.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_FlatDarkPurple.png	(from http://creative-era.com/era/)
10:38:41	912254/912254	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:55%20GMT	http://creative-era.com/era/images/Slideshow/Era_Image.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Image.png	(from http://creative-era.com/era/)
10:38:42	6468/6468	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:44%20GMT	http://creative-era.com/era/images/logo_black_v1.svg	E:/theme/comning%20soon/creative-era.com/era/images/logo_black_v1.svg	(from http://creative-era.com/era/)
10:38:45	82932/82932	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:52%20GMT	http://creative-era.com/era/images/second_.svg	E:/theme/comning%20soon/creative-era.com/era/images/second_.svg	(from http://creative-era.com/era/)
10:38:46	12443/12443	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:27%20GMT	http://creative-era.com/era/images/creative_era_logo.svg	E:/theme/comning%20soon/creative-era.com/era/images/creative_era_logo.svg	(from http://creative-era.com/era/)
10:38:47	4609/4609	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:30%20GMT	http://creative-era.com/era/images/dribble.svg	E:/theme/comning%20soon/creative-era.com/era/images/dribble.svg	(from http://creative-era.com/era/)
10:38:48	2369/2369	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:30%20GMT	http://creative-era.com/era/images/facebook.svg	E:/theme/comning%20soon/creative-era.com/era/images/facebook.svg	(from http://creative-era.com/era/)
10:38:48	2729/2729	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:01%20GMT	http://creative-era.com/era/images/twitter.svg	E:/theme/comning%20soon/creative-era.com/era/images/twitter.svg	(from http://creative-era.com/era/)
10:38:49	3654/3654	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:37%20GMT	http://creative-era.com/era/images/insta.svg	E:/theme/comning%20soon/creative-era.com/era/images/insta.svg	(from http://creative-era.com/era/)
10:38:50	2022/2022	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:24:32%20GMT	http://creative-era.com/era/images/google.svg	E:/theme/comning%20soon/creative-era.com/era/images/google.svg	(from http://creative-era.com/era/)
10:39:13	847133/847133	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:25:58%20GMT	http://creative-era.com/era/images/Slideshow/Era_Image_slideshow.png	E:/theme/comning%20soon/creative-era.com/era/images/Slideshow/Era_Image_slideshow.png	(from http://creative-era.com/era/)
10:39:17	16282/16282	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:36%20GMT	http://creative-era.com/era/js/html5shiv-printshiv.js	E:/theme/comning%20soon/creative-era.com/era/js/html5shiv-printshiv.js	(from http://creative-era.com/era/)
10:39:19	8536/8536	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:40%20GMT	http://creative-era.com/era/js/respond.js	E:/theme/comning%20soon/creative-era.com/era/js/respond.js	(from http://creative-era.com/era/)
10:39:28	48414/48414	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2013:55:42%20GMT	http://creative-era.com/era/js/skrollr.min.js	E:/theme/comning%20soon/creative-era.com/era/js/skrollr.min.js	(from http://creative-era.com/era/)
